No.,Order#,Date,Price,Product Title
1,250-3035411-1972641,"November 30, 2024","¥1,309","Pokemon Card Game Scarlet & Violet Start Deck Generations Dialga ex..., +1 more"
2,250-6177493-0811810,"November 30, 2024","¥13,868","Putter Mat Kobo Body Power Realistic, 2-Piece Set, Swing Practice, ..."
3,250-6200777-2441459,"November 29, 2024","¥21,000","Filco Majestouch Xacro M10SP English Sequence, 72 Keys, CHERRY MX, ..."
4,250-6888164-0491024,"November 28, 2024",¥129,"Pokemon Card Game Scarlet & Violet ex Start Deck Evil Herger, +2 more"
5,250-6732062-6722208,"November 28, 2024",¥0,Pokemon Card Game Scarlet & Violet ex Start Deck Fire Victini
6,503-9984006-3407840,"November 27, 2024","¥110,589","Apple MacBook Air M2 2022 (13 inch, 8 GB RAM, 256 GB SSD, 8 Core CP..."
7,503-7207454-2819826,"November 14, 2024","¥5,294",【純正品】ブルーエア 空気清浄機フィルター Classic 200シリーズ(290i / 280i / 205 / 250E / 27...
8,249-3790035-9819829,"November 12, 2024","¥18,179","Iris Ohyama AZ-IC-FAC2-B Futon Cleaner, Black Dust Mites, Sitting H..., +1 more"
9,249-0073680-0187803,"November 12, 2024","¥1,436","Quickle Floor Wiper, Black Color, Cleaning Tool, Main Body, Smooth ..."
10,250-5751425-3102202,"December 3, 2024","¥7,347","誕生日 飾り付け バルーンセット女の子 男の子 誕生日 バースデー 飾りつけ ハッピー バースデー HAPPY BIRTHDAY キャ..., +2 more"
11,503-0213696-0587034,"September 13, 2024","¥4,198",森永 はぐくみ エコらくパック つめかえ用 1600g (400g×2袋×2箱) 景品付き【入れかえタイプの粉ミルク】[新生児 赤ちゃ...
12,249-9857403-2719868,"September 13, 2024","¥1,453",Musetti for De'Longhi (デロンギ) コーヒー豆 エボリューション MB250-EV ムセッティ ホールビーン 2...
13,503-9816833-6383841,"October 5, 2024","¥1,292",Musetti(ムセッティー) for De'Longhi (デロンギ) コーヒー豆 クレミッシモ MB250-CR ムセッティ ホー...
14,503-3832432-5050237,"October 26, 2024",¥96,フィニッシュライン ドライ バイク ルブリカント 240ml
15,250-4471624-4220656,"October 13, 2024","¥1,538",Musetti for De'Longhi (デロンギ) コーヒー豆 エボリューション MB250-EV ムセッティ ホールビーン 2...
16,249-9986881-8565444,"November 4, 2024","¥1,921",ThinkFun Minecraft Magnetic Travel Puzzle 31521 with Japanese Instr...
17,249-6476271-3096610,"November 12, 2024",¥470,"Panasonic CR1632 Coin Shaped Lithium Battery, Set of 2"
18,249-1997803-8256604,"November 12, 2024","¥1,469","Jessfar Marker Cones, Set of 10, 25, 50 Pieces, Color Cones, Made o..."
19,249-9238688-9724609,"November 12, 2024","¥1,098","Panasonic CR2032 Coin Battery, Rose (12 Pieces)"
20,249-1219694-3106236,"November 12, 2024","¥7,275",Hedge Fund Activism in Japan: The Limits Of Shareholder Primacy
21,249-9227506-8356608,"September 5, 2024","¥1,221",Musetti(ムセッティー) for De'Longhi (デロンギ) コーヒー豆 クレミッシモ MB250-CR ムセッティ ホー...
22,503-5500881-2647867,"September 4, 2024","¥7,573","Meiji VAAM Athletes Powder Amino Acids Mix, Pineapple Flavor, 30 Ba..."
23,249-2960818-4857403,"September 4, 2024",¥437,Pokemon Card Game Scarlet & Violet ex Start Deck Fire Victini
24,503-0379574-2356616,"September 2, 2024",¥84,Skater P-SKDC6-K Stainless Steel Water Bottle Replacement Spare Cup...
25,503-1966157-5867867,"July 16, 2024","¥19,238",スーパー マリオパーティ 4人で遊べる Joy-Conセット(パステルパープル/パステルグリーン) -Switch (【Amazon....
26,503-4659427-5639867,"August 29, 2024","¥8,872",Daiichi Kogyo MD-QS Marquee Dog Key Chain Cube Silver
27,503-6304442-7635001,"August 29, 2024","¥1,761","Yamazaki 7555 Telescopic Shoe Rack, 3 Tiers, White, Approx. W 16.1 ..."
28,503-5216902-2022209,"August 24, 2024","¥6,996",AboveTEK 大型キーボードスライダー 後付け キーボードスタンド リストレスト付き 頑丈なCクランプ式 キーボードトレイ デスク...
29,503-7707442-4421403,"August 21, 2024",¥0,おむつゴミサワデー クリアアップル 消臭芳香剤 ゴミ箱用 使用済オムツ・尿取りパッドのニオイを消臭 介護・ペットシートにも 2.7ml
30,250-4637649-8049449,"August 18, 2024",¥653,Amazonベーシック 乾電池 単3形 単三電池 アルカリ 保存期限10年 20個セット 1.5V 液漏れ防止
31,250-4333302-9267000,"June 4, 2024","¥1,453",Musetti for De'Longhi (デロンギ) コーヒー豆 エボリューション MB250-EV ムセッティ ホールビーン 2...
32,250-5089466-5845403,"June 4, 2024","¥1,221",Musetti(ムセッティー) for De'Longhi (デロンギ) コーヒー豆 クレミッシモ MB250-CR ムセッティ ホー...
33,250-5579224-7303042,"June 3, 2024","¥10,500",Japan Company Handbook 2024 Summer(英文会社四季報 2024 夏号)
34,250-3902129-4827846,"June 24, 2024",¥514,エレコム 電源タップ トリプルタップ 雷ガード 3個口 ホワイト T-KTR01WH
35,250-3490462-5289424,"June 24, 2024","¥6,235",アサヒグループ食品 1本満足バー シリアルホワイト 38g 72本入
36,250-4128335-2181453,"June 24, 2024","¥4,155",象印マホービン クールボトル 水筒 1.0L スポーツタイプ シームレスせん 衝撃や擦れに強いプロテクトアーマー ブラック SD-HB...
37,250-4053051-1899025,"June 20, 2024",¥0,"Perixx PERIPRO-303 GBK 11.34 inch (34mm) Replacement Trackball, Pol..."
38,250-7804466-7956646,"June 19, 2024",¥0,Pokemon Card Game Scarlet & Violet Starter Set ex Nyaoha & Lucario ex
39,249-4690187-3792615,"June 13, 2024",¥0,"Key Top Pulling Tool, Cleaning Brush, Set of 2, Key Cap, Key Switch..."
40,249-0795176-3487816,"July 10, 2024","¥3,870",Brown Alcohol Cleaning Solution (8 Pieces) for Men's Shavers CCR8 C...
41,249-4308929-1465465,"May 5, 2024","¥1,221",Musetti(ムセッティー) for De'Longhi (デロンギ) コーヒー豆 クレミッシモ MB250-CR ムセッティ ホー...
42,249-5538944-4059852,"May 4, 2024","¥1,453",Musetti for De'Longhi (デロンギ) コーヒー豆 エボリューション MB250-EV ムセッティ ホールビーン 2...
43,249-0055931-5043040,"May 19, 2024",¥0,"TIRTIR Mask Fit Cushion, 3 Types: Red/All Cover/Mask Fit), Weight: ..."
44,249-1695150-2503855,"May 1, 2024","¥1,024",【大容量】 トップ ナノックス(NANOX) トップ スーパーナノックス 自動投入洗濯機専用 洗濯洗剤 液体 詰め替え 850g リー...
45,249-9160376-7670231,"May 1, 2024","¥4,198",森永 はぐくみ エコらくパック つめかえ用 1600g (400g×2袋×2箱) 景品付き【入れかえタイプの粉ミルク】[新生児 赤ちゃ...
46,250-4936883-2575811,"June 3, 2024","¥6,721","Kwueiit Lightweight School Bag, Boys and Girls, High Grade Syntheti..."
47,250-5804406-6089464,"June 1, 2024",¥972,"SWANS SJ-24N CLA Swimming Goggles, Made in Japan, Clear, For Kids 6..."
48,250-8442060-7855838,"June 1, 2024",¥840,ランドリン 柔軟剤 大容量 クラシックフローラル 詰め替え 960ml
49,250-4253467-3623060,"June 1, 2024","¥1,024",【大容量】 トップ ナノックス(NANOX) トップ スーパーナノックス 自動投入洗濯機専用 洗濯洗剤 液体 詰め替え 850g リー...
50,249-4412628-9408645,"June 1, 2024","¥4,198",森永 はぐくみ エコらくパック つめかえ用 1600g (400g×2袋×2箱) 景品付き【入れかえタイプの粉ミルク】[新生児 赤ちゃ...
51,503-7766700-1594216,"March 31, 2024","¥1,024",【大容量】 トップ ナノックス(NANOX) トップ スーパーナノックス 自動投入洗濯機専用 洗濯洗剤 液体 詰め替え 850g リー...
52,249-2985033-1058244,"March 2, 2024",¥446,"Combi Baby Label Food Cutter for Cutting Meat, For Ages 7 Months an..."
53,250-1284499-3660658,"March 2, 2024","¥4,198",森永 はぐくみ エコらくパック つめかえ用 1600g (400g×2袋×2箱) 景品付き【入れかえタイプの粉ミルク】[新生児 赤ちゃ...
54,D01-3914515-7999456,"February 23, 2024",N/A,N/A
55,249-9959190-0815026,"February 22, 2024","¥4,656",アサヒグループ食品 1本満足バー シリアル ブラック 糖質 80％オフ 37g × 72本 セット【商標登録番号 第6662120】 ...
56,503-2303885-7182227,"April 5, 2024","¥1,453",Musetti for De'Longhi (デロンギ) コーヒー豆 エボリューション MB250-EV ムセッティ ホールビーン 2...
57,250-5535726-1539050,"April 4, 2024","¥1,221",Musetti(ムセッティー) for De'Longhi (デロンギ) コーヒー豆 クレミッシモ MB250-CR ムセッティ ホー...
58,250-7832883-8686234,"April 1, 2024",¥840,ランドリン 柔軟剤 大容量 クラシックフローラル 詰め替え 960ml
59,503-3654954-8885406,"April 1, 2024",¥799,ネイチャーズ パース ラブクランチ オーガニックグラノーラ ダークチョコレート&レッドベリー 325g
60,249-2852454-8762247,"April 1, 2024","¥10,552",アイリスオーヤマ 静音シュレッダー 家庭用 細断枚数6枚 クロスカット 連続使用10分 ダストボックス12L A4 P6HCSV-W ...
61,249-0612056-4923843,"January 21, 2024","¥4,587","Yamazaki Industries 2486 Magnetic Folding Door Stopper, White, Appr..."
62,249-3438902-0110238,"January 21, 2024","¥3,970","Skater SKDC6-A Children's Stainless Steel Water Bottle, 2-Way Direc..."
63,D01-5215951-8229826,"February 9, 2024",N/A,N/A
64,503-7657411-9910244,"February 8, 2024",¥840,ランドリン 柔軟剤 大容量 クラシックフローラル 詰め替え 960ml
65,249-4683149-8648612,"February 7, 2024",¥0,LEGO Star Wars X-Wing Starfighter Mini Set 30654 Boys Girls 6 Years...
66,503-8857354-5274212,"February 2, 2024","¥4,198",森永 はぐくみ エコらくパック つめかえ用 1600g (400g×2袋×2箱) 景品付き【入れかえタイプの粉ミルク】[新生児 赤ちゃ...
67,250-2232733-6930246,"February 14, 2024","¥1,024",【大容量】 トップ ナノックス(NANOX) トップ スーパーナノックス 自動投入洗濯機専用 洗濯洗剤 液体 詰め替え 850g リー...
68,250-6866582-9091803,"February 14, 2024",¥0,Musetti for De'Longhi Coffee Bean Evolution MB250-EV Musetti Whole ...
69,250-6443979-7962200,"February 14, 2024","¥1,012","Musetti for De'Longhi Coffee Beans Kremissimo, MB250-CR Musetti Who..."
70,249-5745325-6792664,"February 10, 2024","¥1,000",usb-c to 3.5mm headphone jack adapter
71,249-1010155-5382207,"January 21, 2024","¥1,541",BBT H060518 Filter H060509 H060511 Anti-Bacterial Vaporizer Filter ...
72,503-4468139-8338248,"January 11, 2024",¥0,Top Super Nanox Automatic Loading Washing Machine Dedicated Laundry...
73,503-5321644-4500649,"January 11, 2024","¥4,198","Morinaga Milk Industry Co. Hagukumim Baby Formula, Eco Easy Pack"
74,503-9163913-1005450,"January 11, 2024",¥766,Land Cotton Fabric Softener Large Capacity kurasikkuhuro-raru Refil...
